Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
1993-12-09,46.84375,46.90625,46.625,46.6875,26.087472915649414,416500,0.0,0.0,0.0
1993-12-10,46.71875,46.71875,46.5,46.59375,26.03509521484375,412900,0.0,0.0,0.0
1993-12-13,46.59375,46.875,46.53125,46.875,26.192258834838867,273200,0.0,0.0,0.0
1993-12-14,46.90625,46.90625,46.53125,46.53125,26.00016975402832,41900,0.0,0.0,0.0
1993-12-15,46.59375,46.625,46.46875,46.46875,25.965251922607422,82600,0.0,0.0,0.0
1993-12-16,46.65625,46.65625,46.5625,46.625,26.052549362182617,78200,0.0,0.0,0.0
1993-12-17,46.40625,46.59375,46.375,46.5625,26.195758819580078,104700,0.317,0.0,0.0
1993-12-20,46.53125,46.65625,46.5,46.625,26.23090362548828,68800,0.0,0.0,0.0
1993-12-21,46.5625,46.5625,46.40625,46.46875,26.143003463745117,205700,0.0,0.0,0.0
1993-12-22,46.59375,46.8125,46.5,46.78125,26.318788528442383,410300,0.0,0.0,0.0
1993-12-23,46.75,46.84375,46.6875,46.75,26.30121612548828,533800,0.0,0.0,0.0
1993-12-27,46.75,47.0,46.75,47.0,26.441865921020508,447100,0.0,0.0,0.0
1993-12-28,46.96875,47.125,46.9375,47.09375,26.494617462158203,880600,0.0,0.0,0.0
1993-12-29,47.125,47.15625,47.0,47.03125,26.459455490112305,266700,0.0,0.0,0.0
1993-12-30,47.0,47.0,46.75,46.84375,26.353960037231445,219900,0.0,0.0,0.0
1993-12-31,46.9375,47.0,46.5625,46.59375,26.213335037231445,312900,0.0,0.0,0.0
1994-01-03,46.59375,46.65625,46.40625,46.46875,26.143003463745117,960900,0.0,0.0,0.0
1994-01-04,46.53125,46.65625,46.46875,46.65625,26.248483657836914,164300,0.0,0.0,0.0
1994-01-05,46.71875,46.78125,46.53125,46.75,26.30121612548828,710900,0.0,0.0,0.0
1994-01-06,46.8125,46.84375,46.6875,46.75,26.30121612548828,201000,0.0,0.0,0.0
1994-01-07,46.84375,47.0625,46.71875,47.03125,26.459455490112305,775500,0.0,0.0,0.0
1994-01-10,47.09375,47.59375,46.96875,47.59375,26.77590560913086,593700,0.0,0.0,0.0
1994-01-11,47.5625,47.5625,47.34375,47.5,26.723161697387695,295200,0.0,0.0,0.0
1994-01-12,47.53125,47.53125,47.1875,47.34375,26.63527488708496,158400,0.0,0.0,0.0
1994-01-13,47.21875,47.3125,47.15625,47.21875,26.564945220947266,244300,0.0,0.0,0.0
1994-01-14,47.375,47.5,47.375,47.40625,26.670429229736328,137200,0.0,0.0,0.0
1994-01-17,47.40625,47.46875,47.3125,47.40625,26.670429229736328,17700,0.0,0.0,0.0
1994-01-18,47.46875,47.53125,47.375,47.46875,26.705596923828125,166400,0.0,0.0,0.0
1994-01-19,47.40625,47.46875,47.25,47.34375,26.63527488708496,200800,0.0,0.0,0.0
1994-01-20,47.40625,47.5,47.375,47.46875,26.705596923828125,281100,0.0,0.0,0.0
